proxy,fold,method,seed,n_source_files,n_target_files,n_source_windows,n_target_windows,n_features,fit_seconds,macro_f1,accuracy,n_classes,f1_B,f1_IR,f1_OR,f1_N,recall_B,recall_IR,recall_OR,recall_N
A_P2,load2,M2,0,121,40,3088,1032,49,4.081048250198364,0.5988072571230704,0.7926356589147286,4,0.7139784946236559,0.8290766208251473,0.8521739130434782,0.0,0.6335877862595419,0.8053435114503816,0.9245283018867925,0.0
A_P2,load3,M2,0,121,40,3088,1032,49,4.607219934463501,0.8272651952166044,0.8091085271317829,4,0.7672552166934189,0.8604651162790697,0.804147465437788,0.8771929824561403,0.9122137404580153,0.8473282442748091,0.7316561844863732,0.8064516129032258
A_P2,load0,M2,1,120,41,3104,1016,49,6.559876203536987,0.677682809980136,0.8051181102362205,4,0.7478559176672385,0.8220338983050848,0.86084142394822,0.28,0.8320610687022901,0.7729083665338645,0.8243801652892562,0.3684210526315789
A_P2,load1,M2,1,121,40,3080,1040,49,4.79958438873291,0.7220127883904104,0.7826923076923077,4,0.7144992526158446,0.8656716417910447,0.8147295742232451,0.4931506849315068,0.9122137404580153,0.7748091603053435,0.7298969072164948,0.5806451612903226
A_P2,load2,M2,1,121,40,3088,1032,49,4.831197500228882,0.5988072571230704,0.7926356589147286,4,0.7139784946236559,0.8290766208251473,0.8521739130434782,0.0,0.6335877862595419,0.8053435114503816,0.9245283018867925,0.0
A_P2,load3,M2,1,121,40,3088,1032,49,4.40477728843689,0.8272651952166044,0.8091085271317829,4,0.7672552166934189,0.8604651162790697,0.804147465437788,0.8771929824561403,0.9122137404580153,0.8473282442748091,0.7316561844863732,0.8064516129032258
A_P2,load0,M3,0,120,41,3104,1016,49,4.008213758468628,0.4360775985698945,0.6171259842519685,4,0.6514285714285715,0.4022038567493113,0.690677966101695,0.0,0.8702290076335878,0.2908366533864542,0.6735537190082644,0.0
A_P2,load1,M3,0,121,40,3080,1040,49,4.1286163330078125,0.525706198795919,0.6932692307692307,4,0.7002967359050445,0.6542443064182195,0.7482837528604119,0.0,0.9007633587786259,0.6030534351145038,0.6742268041237114,0.0
A_P2,load2,M3,0,121,40,3088,1032,49,3.9229869842529297,0.5046864511570394,0.7131782945736435,4,0.42162162162162165,0.8104575163398693,0.7866666666666666,0.0,0.29770992366412213,0.7099236641221374,0.989517819706499,0.0
A_P2,load3,M3,0,121,40,3088,1032,49,4.060349225997925,0.5375594359685518,0.6133720930232558,4,0.43636363636363634,0.543010752688172,0.71160409556314,0.45925925925925926,0.32061068702290074,0.38549618320610685,0.8742138364779874,1.0
A_P2,load0,M3,1,120,41,3104,1016,49,4.062072515487671,0.4360775985698945,0.6171259842519685,4,0.6514285714285715,0.4022038567493113,0.690677966101695,0.0,0.8702290076335878,0.2908366533864542,0.6735537190082644,0.0
A_P2,load1,M3,1,121,40,3080,1040,49,4.145353317260742,0.525706198795919,0.6932692307692307,4,0.7002967359050445,0.6542443064182195,0.7482837528604119,0.0,0.9007633587786259,0.6030534351145038,0.6742268041237114,0.0
A_P2,load2,M3,1,121,40,3088,1032,49,3.8974194526672363,0.5046864511570394,0.7131782945736435,4,0.42162162162162165,0.8104575163398693,0.7866666666666666,0.0,0.29770992366412213,0.7099236641221374,0.989517819706499,0.0
A_P2,load3,M3,1,121,40,3088,1032,49,3.880357027053833,0.5375594359685518,0.6133720930232558,4,0.43636363636363634,0.543010752688172,0.71160409556314,0.45925925925925926,0.32061068702290074,0.38549618320610685,0.8742138364779874,1.0
A_P2,load0,M4,0,120,41,3104,1016,49,3.3032147884368896,0.6226202268781903,0.7893700787401575,4,0.7431340872374798,0.8390804597701149,0.8082663605051664,0.1,0.8778625954198473,0.8725099601593626,0.7272727272727273,0.05263157894736842
A_P2,load1,M4,0,121,40,3080,1040,49,3.2337472438812256,0.8813909899871064,0.8673076923076923,4,0.7311827956989247,0.9117647058823529,0.899009900990099,0.9836065573770492,0.648854961832061,0.9465648854961832,0.9360824742268041,0.967741935483871
A_P2,load2,M4,0,121,40,3088,1032,49,3.2591567039489746,0.6604907768169195,0.8624031007751938,4,0.7883683360258481,0.9647058823529412,0.8888888888888888,0.0,0.9312977099236641,0.9389312977099237,0.8385744234800838,0.0
A_P2,load3,M4,0,121,40,3088,1032,49,3.2207584381103516,0.8264730017500238,0.813953488372093,4,0.7613293051359517,0.8599221789883269,0.8235294117647058,0.8611111111111112,0.9618320610687023,0.8435114503816794,0.7044025157232704,1.0
A_P2,load0,M4,1,120,41,3104,1016,49,3.235797643661499,0.6226202268781903,0.7893700787401575,4,0.7431340872374798,0.8390804597701149,0.8082663605051664,0.1,0.8778625954198473,0.8725099601593626,0.7272727272727273,0.05263157894736842
A_P2,load1,M4,1,121,40,3080,1040,49,3.2591450214385986,0.8813909899871064,0.8673076923076923,4,0.7311827956989247,0.9117647058823529,0.899009900990099,0.9836065573770492,0.648854961832061,0.9465648854961832,0.9360824742268041,0.967741935483871
A_P2,load2,M4,1,121,40,3088,1032,49,3.286890745162964,0.6604907768169195,0.8624031007751938,4,0.7883683360258481,0.9647058823529412,0.8888888888888888,0.0,0.9312977099236641,0.9389312977099237,0.8385744234800838,0.0
A_P2,load3,M4,1,121,40,3088,1032,49,3.2433717250823975,0.8264730017500238,0.813953488372093,4,0.7613293051359517,0.8599221789883269,0.8235294117647058,0.8611111111111112,0.9618320610687023,0.8435114503816794,0.7044025157232704,1.0
A_P2,load0,M5,0,120,41,3104,1016,49,19.31048035621643,0.6722376061481657,0.860236220472441,4,0.763915547024952,0.9388560157790927,0.8861788617886179,0.1,0.7595419847328244,0.9482071713147411,0.9008264462809917,0.05263157894736842
A_P2,load1,M5,0,121,40,3080,1040,49,18.817858457565308,0.9148548768236896,0.9009615384615385,4,0.8070866141732284,0.9509433962264151,0.9172625127681308,0.9841269841269841,0.7824427480916031,0.9618320610687023,0.9257731958762887,1.0
A_P2,load2,M5,0,121,40,3088,1032,49,19.55202579498291,0.6643552915618863,0.872093023255814,4,0.7993254637436762,0.9544554455445544,0.9036402569593148,0.0,0.9045801526717557,0.9198473282442748,0.8846960167714885,0.0
A_P2,load3,M5,0,121,40,3088,1032,49,15.221550703048706,0.8969350683578028,0.872093023255814,4,0.8161120840630472,0.9101338432122371,0.8778877887788779,0.9836065573770492,0.8893129770992366,0.9083969465648855,0.8364779874213837,0.967741935483871
A_P2,load0,M5,1,120,41,3104,1016,49,19.180074214935303,0.6722376061481657,0.860236220472441,4,0.763915547024952,0.9388560157790927,0.8861788617886179,0.1,0.7595419847328244,0.9482071713147411,0.9008264462809917,0.05263157894736842
A_P2,load1,M5,1,121,40,3080,1040,49,18.69513177871704,0.9148548768236896,0.9009615384615385,4,0.8070866141732284,0.9509433962264151,0.9172625127681308,0.9841269841269841,0.7824427480916031,0.9618320610687023,0.9257731958762887,1.0
A_P2,load2,M5,1,121,40,3088,1032,49,19.39560890197754,0.6643552915618863,0.872093023255814,4,0.7993254637436762,0.9544554455445544,0.9036402569593148,0.0,0.9045801526717557,0.9198473282442748,0.8846960167714885,0.0
A_P2,load3,M5,1,121,40,3088,1032,49,15.138437032699585,0.8969350683578028,0.872093023255814,4,0.8161120840630472,0.9101338432122371,0.8778877887788779,0.9836065573770492,0.8893129770992366,0.9083969465648855,0.8364779874213837,0.967741935483871
A_P2,load0,M6,0,120,41,3104,1016,49,21.720361471176147,0.6725131630854748,0.8070866141732284,4,0.7428571428571429,0.832271762208068,0.8649237472766884,0.25,0.8435114503816794,0.7808764940239044,0.8202479338842975,0.3157894736842105
A_P2,load1,M6,0,121,40,3080,1040,49,20.83595895767212,0.7311959533340886,0.7846153846153846,4,0.7147147147147147,0.8680851063829788,0.815668202764977,0.5263157894736842,0.9083969465648855,0.7786259541984732,0.7298969072164948,0.6451612903225806
A_P2,load2,M6,0,121,40,3088,1032,49,21.098270654678345,0.5994702471272165,0.7926356589147286,4,0.7213822894168467,0.825147347740668,0.8513513513513513,0.0,0.6374045801526718,0.8015267175572519,0.9245283018867925,0.0
A_P2,load3,M6,0,121,40,3088,1032,49,17.656972885131836,0.8364866013509523,0.8217054263565892,4,0.7837398373983739,0.8675623800383877,0.817451205510907,0.8771929824561403,0.9198473282442748,0.8625954198473282,0.7463312368972747,0.8064516129032258
A_P2,load0,M6,1,120,41,3104,1016,49,21.89471459388733,0.6725131630854748,0.8070866141732284,4,0.7428571428571429,0.832271762208068,0.8649237472766884,0.25,0.8435114503816794,0.7808764940239044,0.8202479338842975,0.3157894736842105
A_P2,load1,M6,1,121,40,3080,1040,49,21.003341674804688,0.7311959533340886,0.7846153846153846,4,0.7147147147147147,0.8680851063829788,0.815668202764977,0.5263157894736842,0.9083969465648855,0.7786259541984732,0.7298969072164948,0.6451612903225806
A_P2,load2,M6,1,121,40,3088,1032,49,21.08200478553772,0.5994702471272165,0.7926356589147286,4,0.7213822894168467,0.825147347740668,0.8513513513513513,0.0,0.6374045801526718,0.8015267175572519,0.9245283018867925,0.0
A_P2,load3,M6,1,121,40,3088,1032,49,18.167693614959717,0.8364866013509523,0.8217054263565892,4,0.7837398373983739,0.8675623800383877,0.817451205510907,0.8771929824561403,0.9198473282442748,0.8625954198473282,0.7463312368972747,0.8064516129032258
A_P2,load0,M7,0,120,41,3104,1016,49,7.376513481140137,0.5476208995585565,0.6151574803149606,4,0.6162790697674418,0.7960396039603961,0.6829268292682927,0.09523809523809523,0.6068702290076335,0.8007968127490039,0.5206611570247934,0.6842105263157895
A_P2,load1,M7,0,121,40,3080,1040,49,7.185890197753906,0.5862855104655519,0.6394230769230769,4,0.6398467432950191,0.7969348659003831,0.6953020134228188,0.21305841924398625,0.6374045801526718,0.7938931297709924,0.534020618556701,1.0
A_P2,load2,M7,0,121,40,3088,1032,49,7.4496777057647705,0.5737734460299957,0.6443798449612403,4,0.6923076923076923,0.8384615384615385,0.7020408163265306,0.06228373702422145,0.6870229007633588,0.8320610687022901,0.5408805031446541,0.2903225806451613
A_P2,load3,M7,0,121,40,3088,1032,49,7.331523418426514,0.6252972682285585,0.6792635658914729,4,0.7692307692307693,0.8153846153846154,0.7020408163265306,0.21453287197231835,0.7633587786259542,0.8091603053435115,0.5408805031446541,1.0
A_P2,load0,M7,1,120,41,3104,1016,49,7.4000630378723145,0.5476208995585565,0.6151574803149606,4,0.6162790697674418,0.7960396039603961,0.6829268292682927,0.09523809523809523,0.6068702290076335,0.8007968127490039,0.5206611570247934,0.6842105263157895
