feature,ks_stat,ks_p,src_median,tgt_median,src_mean,tgt_mean,wasserstein
o_bandfrac3,0.380633416849358,5.6126657431941144e-58,0.1945356272553368,0.2818774874726455,0.19431614669375777,0.2783356797053311,0.08403029700164161
o_pk6_order,0.3964492640150329,4.992660504840208e-63,4.605800214822772,10.098302008112892,6.167559401503023,12.790208955476388,6.616742890833145
o_pk7_order,0.40032101471969933,2.6576732897325135e-64,5.10604686723645,9.77416734362307,6.406448969092644,12.604958457974693,6.192087300496071
o_pk7_amp,0.4315808017538365,4.181365388096537e-75,0.01293893773823865,0.016828900084647297,0.013567545383855949,0.01665919777035201,0.0034088863295484544
o_pk3_order,0.4371554963983714,3.918528726822491e-77,3.965217391304348,11.121440703893992,5.461937725735788,11.408979084301054,5.942657039651408
o_pk0_order,0.44962809270278736,8.793919871132218e-82,3.555555555555556,4.679122664500406,3.176730966770547,6.467102722746484,3.55998188170684
o_pk4_order,0.4585812715314751,3.2556408010160125e-85,4.058124457637965,9.878147847278635,5.917902197248487,12.053534767827758,6.129048581697198
o_gini,0.4781122768556217,5.401545684470977e-93,0.7781652494550783,0.5933608904607888,0.7766453466865206,0.608416554724329,0.16822011275523996
o_entropy,0.4790714062010648,2.180214184993572e-93,4.660505228240539,4.340370333098862,4.524569999246377,4.2472803066066005,0.41428399955376954
o_pk5_order,0.4927497651111807,4.336827845332032e-99,4.393353309724871,12.299674267100976,6.2128428809160745,13.384189863058785,7.167091765016272
o_pk2_order,0.5170333542123395,1.0276056684265411e-109,2.976744186046512,10.423452768729645,4.952907033826164,12.834483541555821,7.882480643704241
o_bandfrac1,0.5525681177575947,1.751255352162569e-126,0.1318402724634723,0.05246641943360095,0.14701774155533995,0.06213673127762822,0.08494673646993986
o_pk2_ratio,0.5655574694644535,5.5225398023978796e-133,74.47072351693973,8.794147313047276,712.1147363480507,17.78128131760211,694.3944361117145
o_pk1_ratio,0.605633416849358,2.06988539479943e-154,102.83950565740341,12.23060636756598,993.5919134685727,22.034894096356243,971.6161765097961
o_pk0_ratio,0.6129267146883808,1.5224581391086264e-158,202.5175613493176,24.183456927574337,1664.5314644270916,35.64852407086299,1628.9673203918762
o_pk1_order,0.6292084246789853,4.932942750277417e-168,2.405638214565388,11.021933387489844,3.6881435914987986,11.459474430123677,7.762919742691127
o_kurtosis,0.6415009395552772,1.8920885065938496e-175,79.32515375113127,24.36664631904312,101.8229280481321,23.665297573794003,78.18715606689508
o_crest,0.6707641716254307,4.643128325983734e-194,40.25124431195697,13.065540526996218,50.369892143729516,12.972942232869203,37.40622799939054
o_pk3_ratio,0.6931608205449421,3.0173120130242036e-209,55.291207296433484,6.924303998142564,567.9791769595141,10.648814468070634,557.3514460000105
o_pk4_ratio,0.7150563733166301,5.620996423075288e-225,42.86627216820012,6.230071026900793,473.8423471438167,8.909182010670204,464.95028277261633
o_bandfrac4,0.7276581584716567,1.8872255092033554e-234,0.21142526719869253,0.46697520093429223,0.2122034950493103,0.4680406891809635,0.25579923796026643
o_pk5_ratio,0.7427458502975258,3.1815776235717883e-246,33.922739518718316,5.65912366849643,398.55151533904336,7.71397780355752,390.85172675612216
o_pk6_ratio,0.8086047604134043,3.5779112394147843e-304,27.976245912973027,5.1149694329946485,339.28459950514326,6.443869017839509,332.85192600375564
o_pk7_ratio,0.8225571562793611,4.44734e-318,23.848444209464574,4.696344837558003,278.534400294241,5.780850362482151,272.76184285694563
o_bandfrac2,0.8630402442843721,7.76e-322,0.28693792634773974,0.08371904495668281,0.30208212764619213,0.0916218450231813,0.21051958872771673
