proxy,fold,method,seed,n_source_files,n_target_files,macro_f1,accuracy,n_classes,f1_B,recall_B,f1_IR,recall_IR,f1_OR,recall_OR,f1_N,recall_N
A_P3,12k_to_48k,N6,1,105,52,0.5665243568691845,0.6346153846153846,3,0.38095238095238093,0.3333333333333333,0.56,0.5833333333333334,0.7586206896551724,0.7857142857142857,,
A_P3,12k_to_48k,N6,2,105,52,0.5665243568691845,0.6346153846153846,3,0.38095238095238093,0.3333333333333333,0.56,0.5833333333333334,0.7586206896551724,0.7857142857142857,,
A_P3,48k_to_12k,N0,0,52,105,0.5089934681280347,0.5523809523809524,3,0.5205479452054794,0.6785714285714286,0.32558139534883723,0.25,0.6808510638297872,0.6530612244897959,,
A_P3,48k_to_12k,N0,1,52,105,0.5089934681280347,0.5523809523809524,3,0.5205479452054794,0.6785714285714286,0.32558139534883723,0.25,0.6808510638297872,0.6530612244897959,,
A_P3,48k_to_12k,N0,2,52,105,0.5089934681280347,0.5523809523809524,3,0.5205479452054794,0.6785714285714286,0.32558139534883723,0.25,0.6808510638297872,0.6530612244897959,,
A_P3,48k_to_12k,N6,0,52,105,0.5089934681280347,0.5523809523809524,3,0.5205479452054794,0.6785714285714286,0.32558139534883723,0.25,0.6808510638297872,0.6530612244897959,,
A_P3,48k_to_12k,N6,1,52,105,0.5089934681280347,0.5523809523809524,3,0.5205479452054794,0.6785714285714286,0.32558139534883723,0.25,0.6808510638297872,0.6530612244897959,,
A_P3,48k_to_12k,N6,2,52,105,0.5089934681280347,0.5523809523809524,3,0.5205479452054794,0.6785714285714286,0.32558139534883723,0.25,0.6808510638297872,0.6530612244897959,,
A_P4,DE_to_FE,N0,0,60,45,0.21637426900584797,0.2222222222222222,3,0.3157894736842105,0.25,0.3333333333333333,0.5833333333333334,0.0,0.0,,
A_P4,DE_to_FE,N0,1,60,45,0.21637426900584797,0.2222222222222222,3,0.3157894736842105,0.25,0.3333333333333333,0.5833333333333334,0.0,0.0,,
A_P4,DE_to_FE,N0,2,60,45,0.21637426900584797,0.2222222222222222,3,0.3157894736842105,0.25,0.3333333333333333,0.5833333333333334,0.0,0.0,,
A_P4,DE_to_FE,N6,0,60,45,0.21637426900584797,0.2222222222222222,3,0.3157894736842105,0.25,0.3333333333333333,0.5833333333333334,0.0,0.0,,
A_P4,DE_to_FE,N6,1,60,45,0.21637426900584797,0.2222222222222222,3,0.3157894736842105,0.25,0.3333333333333333,0.5833333333333334,0.0,0.0,,
A_P4,DE_to_FE,N6,2,60,45,0.21637426900584797,0.2222222222222222,3,0.3157894736842105,0.25,0.3333333333333333,0.5833333333333334,0.0,0.0,,
A_P4,FE_to_DE,N0,0,45,60,0.30150910939088277,0.2833333333333333,3,0.4827586206896552,0.4375,0.09523809523809523,0.125,0.32653061224489793,0.2857142857142857,,
A_P4,FE_to_DE,N0,1,45,60,0.30150910939088277,0.2833333333333333,3,0.4827586206896552,0.4375,0.09523809523809523,0.125,0.32653061224489793,0.2857142857142857,,
A_P4,FE_to_DE,N0,2,45,60,0.30150910939088277,0.2833333333333333,3,0.4827586206896552,0.4375,0.09523809523809523,0.125,0.32653061224489793,0.2857142857142857,,
A_P4,FE_to_DE,N6,0,45,60,0.30150910939088277,0.2833333333333333,3,0.4827586206896552,0.4375,0.09523809523809523,0.125,0.32653061224489793,0.2857142857142857,,
A_P4,FE_to_DE,N6,1,45,60,0.30150910939088277,0.2833333333333333,3,0.4827586206896552,0.4375,0.09523809523809523,0.125,0.32653061224489793,0.2857142857142857,,
A_P4,FE_to_DE,N6,2,45,60,0.30150910939088277,0.2833333333333333,3,0.4827586206896552,0.4375,0.09523809523809523,0.125,0.32653061224489793,0.2857142857142857,,
