proxy,fold,method,seed,n_source_files,n_target_files,macro_f1,accuracy,n_classes,f1_B,recall_B,f1_IR,recall_IR,f1_OR,recall_OR,f1_N,recall_N
A_P2,load1,N0,0,121,40,0.7680754917597024,0.725,4,0.5555555555555556,0.5,0.7272727272727273,0.8,0.7894736842105263,0.7894736842105263,1.0,1.0
A_P2,load1,N0,1,121,40,0.7680754917597024,0.725,4,0.5555555555555556,0.5,0.7272727272727273,0.8,0.7894736842105263,0.7894736842105263,1.0,1.0
A_P2,load1,N0,2,121,40,0.7680754917597024,0.725,4,0.5555555555555556,0.5,0.7272727272727273,0.8,0.7894736842105263,0.7894736842105263,1.0,1.0
A_P2,load1,N6,0,121,40,0.7680754917597024,0.725,4,0.5555555555555556,0.5,0.7272727272727273,0.8,0.7894736842105263,0.7894736842105263,1.0,1.0
A_P2,load1,N6,1,121,40,0.7680754917597024,0.725,4,0.5555555555555556,0.5,0.7272727272727273,0.8,0.7894736842105263,0.7894736842105263,1.0,1.0
A_P2,load1,N6,2,121,40,0.7680754917597024,0.725,4,0.5555555555555556,0.5,0.7272727272727273,0.8,0.7894736842105263,0.7894736842105263,1.0,1.0
A_P2,load1,N8,0,121,40,0.5234097734097735,0.7,4,0.5555555555555556,0.5,0.7272727272727273,0.8,0.8108108108108109,0.7894736842105263,0.0,0.0
A_P2,load1,N8,1,121,40,0.5234097734097735,0.7,4,0.5555555555555556,0.5,0.7272727272727273,0.8,0.8108108108108109,0.7894736842105263,0.0,0.0
A_P2,load1,N8,2,121,40,0.5234097734097735,0.7,4,0.5555555555555556,0.5,0.7272727272727273,0.8,0.8108108108108109,0.7894736842105263,0.0,0.0
A_P2,load1,N4,0,121,40,0.23118279569892472,0.4,4,0.0,0.0,0.25806451612903225,0.4,0.6666666666666666,0.631578947368421,0.0,0.0
A_P2,load1,N4,1,121,40,0.23118279569892472,0.4,4,0.0,0.0,0.25806451612903225,0.4,0.6666666666666666,0.631578947368421,0.0,0.0
A_P2,load1,N4,2,121,40,0.23118279569892472,0.4,4,0.0,0.0,0.25806451612903225,0.4,0.6666666666666666,0.631578947368421,0.0,0.0
A_P2,load2,N0,0,121,40,0.5871420619704373,0.775,4,0.6956521739130435,0.8,0.8421052631578947,0.8,0.8108108108108109,0.7894736842105263,0.0,0.0
A_P2,load2,N0,1,121,40,0.5871420619704373,0.775,4,0.6956521739130435,0.8,0.8421052631578947,0.8,0.8108108108108109,0.7894736842105263,0.0,0.0
A_P2,load2,N0,2,121,40,0.5871420619704373,0.775,4,0.6956521739130435,0.8,0.8421052631578947,0.8,0.8108108108108109,0.7894736842105263,0.0,0.0
A_P2,load2,N6,0,121,40,0.5950472003103582,0.775,4,0.7272727272727273,0.8,0.8421052631578947,0.8,0.8108108108108109,0.7894736842105263,0.0,0.0
A_P2,load2,N6,1,121,40,0.5950472003103582,0.775,4,0.7272727272727273,0.8,0.8421052631578947,0.8,0.8108108108108109,0.7894736842105263,0.0,0.0
A_P2,load2,N6,2,121,40,0.5950472003103582,0.775,4,0.7272727272727273,0.8,0.8421052631578947,0.8,0.8108108108108109,0.7894736842105263,0.0,0.0
A_P2,load2,N8,0,121,40,0.3542128603104213,0.575,4,0.6363636363636364,0.7,0.0,0.0,0.7804878048780488,0.8421052631578947,0.0,0.0
A_P2,load2,N8,1,121,40,0.3542128603104213,0.575,4,0.6363636363636364,0.7,0.0,0.0,0.7804878048780488,0.8421052631578947,0.0,0.0
A_P2,load2,N8,2,121,40,0.3542128603104213,0.575,4,0.6363636363636364,0.7,0.0,0.0,0.7804878048780488,0.8421052631578947,0.0,0.0
A_P2,load2,N4,0,121,40,0.16666666666666666,0.475,4,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0
A_P2,load2,N4,1,121,40,0.16666666666666666,0.475,4,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0
A_P2,load2,N4,2,121,40,0.16666666666666666,0.475,4,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0
A_P2,load3,N0,0,121,40,0.8194444444444444,0.775,4,0.7,0.7,0.7777777777777778,0.7,0.8,0.8421052631578947,1.0,1.0
A_P2,load3,N0,1,121,40,0.8194444444444444,0.775,4,0.7,0.7,0.7777777777777778,0.7,0.8,0.8421052631578947,1.0,1.0
A_P2,load3,N0,2,121,40,0.8194444444444444,0.775,4,0.7,0.7,0.7777777777777778,0.7,0.8,0.8421052631578947,1.0,1.0
A_P2,load3,N6,0,121,40,0.8194444444444444,0.775,4,0.7,0.7,0.7777777777777778,0.7,0.8,0.8421052631578947,1.0,1.0
A_P2,load3,N6,1,121,40,0.8194444444444444,0.775,4,0.7,0.7,0.7777777777777778,0.7,0.8,0.8421052631578947,1.0,1.0
A_P2,load3,N6,2,121,40,0.8194444444444444,0.775,4,0.7,0.7,0.7777777777777778,0.7,0.8,0.8421052631578947,1.0,1.0
