protocol,feature_set,model,seed,fold,n_train_files,n_test_files,n_train_windows,n_test_windows,n_features,fit_seconds,predict_ms_per_1k,accuracy,macro_f1,weighted_f1,n_classes,file_accuracy,file_macro_f1,n_test_files_eval,precision_B,recall_B,f1_B,precision_IR,recall_IR,f1_IR,precision_OR,recall_OR,f1_OR,precision_N,recall_N,f1_N
P5,F2,svm,0,fold0,43,13,646,211,49,0.08910942077636719,49.29388868865244,0.3744075829383886,0.3054556336642717,0.3558177429360553,4,0.38461538461538464,0.29871794871794877,13,0.3,0.26666666666666666,0.2823529411764706,0.5151515151515151,0.37777777777777777,0.4358974358974359,0.3983739837398374,0.5444444444444444,0.460093896713615,0.06666666666666667,0.03225806451612903,0.043478260869565216
P5,F2,svm,0,fold1,43,13,646,211,49,0.08616995811462402,41.85093522636811,0.6208530805687204,0.4757679092717456,0.5707148453296985,4,0.6923076923076923,0.5256410256410257,13,0.3888888888888889,0.4666666666666667,0.42424242424242425,0.75,0.6666666666666666,0.7058823529411765,0.6837606837606838,0.8888888888888888,0.7729468599033816,0.0,0.0,0.0
P5,F2,svm,0,fold2,45,11,693,164,49,0.11078381538391113,53.63400389508503,0.7560975609756098,0.732097288676236,0.7662057027268837,4,0.8181818181818182,0.8250000000000001,11,0.45652173913043476,0.7,0.5526315789473685,1.0,0.7368421052631579,0.8484848484848485,0.8765432098765432,0.8452380952380952,0.8606060606060606,0.782608695652174,0.5806451612903226,0.6666666666666666
P5,F2,svm,0,fold3,46,10,715,142,49,0.11323881149291992,62.65875319360008,0.6549295774647887,0.5053146853146853,0.5992908499950753,4,0.7,0.5333333333333333,10,0.8,0.4,0.5333333333333333,0.6222222222222222,0.9333333333333333,0.7466666666666667,0.6625,0.8412698412698413,0.7412587412587412,0.0,0.0,0.0
P5,F2,svm,0,fold4,47,9,728,129,49,0.1235957145690918,55.73819774065831,0.8604651162790697,0.8435897435897436,0.8559928443649374,3,0.8888888888888888,0.8585858585858586,9,1.0,0.7333333333333333,0.8461538461538461,1.0,0.6666666666666666,0.8,0.7931034482758621,1.0,0.8846153846153846,,,
P5,F2,svm,1,fold0,43,13,646,211,49,0.08856916427612305,45.2599819237587,0.3696682464454976,0.30281891322202675,0.35201927591638354,4,0.38461538461538464,0.29871794871794877,13,0.2926829268292683,0.26666666666666666,0.27906976744186046,0.5151515151515151,0.37777777777777777,0.4358974358974359,0.39344262295081966,0.5333333333333333,0.4528301886792453,0.06666666666666667,0.03225806451612903,0.043478260869565216
P5,F2,svm,1,fold1,43,13,646,211,49,0.08478593826293945,41.827206363045214,0.6208530805687204,0.4757679092717456,0.5707148453296985,4,0.6923076923076923,0.5256410256410257,13,0.3888888888888889,0.4666666666666667,0.42424242424242425,0.75,0.6666666666666666,0.7058823529411765,0.6837606837606838,0.8888888888888888,0.7729468599033816,0.0,0.0,0.0
P5,F2,svm,1,fold2,45,11,693,164,49,0.11075210571289062,53.55404644477658,0.75,0.726497864222415,0.7587149067359379,4,0.8181818181818182,0.8250000000000001,11,0.45454545454545453,0.6666666666666666,0.5405405405405406,1.0,0.7368421052631579,0.8484848484848485,0.8554216867469879,0.8452380952380952,0.8502994011976048,0.782608695652174,0.5806451612903226,0.6666666666666666
P5,F2,svm,1,fold3,46,10,715,142,49,0.12227678298950195,54.29395487610723,0.6549295774647887,0.5070580808080808,0.599567861715749,4,0.7,0.5333333333333333,10,0.8571428571428571,0.4,0.5454545454545454,0.6222222222222222,0.9333333333333333,0.7466666666666667,0.654320987654321,0.8412698412698413,0.7361111111111112,0.0,0.0,0.0
P5,F2,svm,1,fold4,47,9,728,129,49,0.12884879112243652,56.39800729677659,0.8604651162790697,0.8435897435897436,0.8559928443649374,3,0.8888888888888888,0.8585858585858586,9,1.0,0.7333333333333333,0.8461538461538461,1.0,0.6666666666666666,0.8,0.7931034482758621,1.0,0.8846153846153846,,,
