protocol,feature_set,model,macro_f1_mean,macro_f1_std,acc_mean,acc_std,n_folds,n_seeds,n_classes,fit_s
P3,F1,lr,0.5589380876494596,0.016500467724217892,0.5561512339902136,0.015685201718977318,2,3,3,0.8457002639770508
P3,F6,svm,0.55493226989496,0.060504943195051536,0.5846515846783233,0.057989621202997665,2,3,3,0.721565047899882
P3,F2,mlp,0.5287166115000468,0.036539849068174056,0.5275429001598151,0.03223370347507743,2,1,3,3.5178762674331665
P3,F2,svm,0.5084150708258504,0.015713703582360877,0.5127801305533329,0.011813963834548793,2,3,3,0.980215271313985
P3,F6,lr,0.5064327026249372,0.10372205528219058,0.5071653499579379,0.08993209487202539,2,3,3,0.04804201920827225
P3,F7,lr,0.49443796122247213,0.02598253441564685,0.4780257390674782,0.04136103088062038,2,3,3,0.03129537900288893
P3,F2,lr,0.4700825224678324,0.01868219984818538,0.4710804690376336,0.01918139183710376,2,3,3,0.6194212039311727
P3,F6,hgb,0.4475970208600795,0.05740479876074782,0.5235150261113523,0.09407786391072659,2,3,3,1.1486923297246296
P3,F7,svm,0.44092670241458887,0.06776103962766468,0.43892144380660114,0.05734884359203936,2,3,3,0.47518257300059
P3,F6,rf,0.43997162934558537,0.0663843460554174,0.5358275725183931,0.09875941161109714,2,3,3,1.8360300064086914
P4,F3,hgb,0.4971702639817071,0.011457141347748716,0.49409521838763326,0.00295481961256512,2,3,3,1.7067307631174724
P4,F3,rf,0.4622227977501916,0.06963331129364977,0.526961873813666,0.07164494788333602,2,3,3,2.0633344650268555
P4,F3,svm,0.449216592659846,0.02156917964409277,0.47564640031473776,0.026554953995989283,2,3,3,0.318159023920695
P4,F1,svm,0.4285185821487644,0.07047040985866446,0.4354664990790344,0.0773390496738405,2,3,3,0.27404749393463135
P4,F3,lr,0.3597423907210773,0.008611085953433356,0.35454766667433074,0.03089547465193745,2,3,3,0.3168195486068725
P4,F1,rf,0.3597003467698081,0.11512218297129667,0.4558068731366733,0.1505386149180093,2,3,3,2.1303885777791343
P4,F2,rf,0.3523163281414894,0.02518036763297049,0.47561401962512484,0.04871339248785489,2,3,3,2.0548654397328696
P4,F2,lr,0.3460217053497929,0.08678465512999638,0.33862613907218786,0.07176026468657261,2,3,3,0.2521340052286784
P4,F2,svm,0.33163523518257293,0.05261884983114991,0.35402785122510133,0.013277478487367014,2,3,3,0.36756432056427
P4,F2,hgb,0.30358462505662026,0.030727205741190894,0.37317920891484446,0.04718266367846407,2,3,3,1.4366105397542317
P4,F1,lr,0.28752594394195824,0.023494109474964536,0.2928160853470673,0.027467354980675457,2,3,3,0.23277461528778076
P4,F6,hgb,0.27934673779630065,0.0004879366072184489,0.32359517623525624,0.0452825371013543,2,3,3,0.8091022570927938
P4,F7,rf,0.277958484173142,0.17715311168479614,0.3275686125736708,0.1308305356154853,2,3,3,1.1460646788279216
P4,F6,lr,0.2768438492867719,0.03862717768981491,0.3339564221062392,0.08077962172529612,2,3,3,0.0297081073125203
P4,F1,hgb,0.273210717000767,0.1414200352351728,0.35166521049364263,0.09711928304214393,2,3,3,1.8452719847361247
P4,F6,rf,0.2495605965032989,0.03288337580256595,0.32298428610478824,0.03982987686884223,2,3,3,1.3580782413482666
